location_idx,lat,lon
69573,52.204,4.437
68466,52.15,6.264
60248,51.772,5.452
53222,51.448,5.2780000000000005
87179,53.014,6.061
87524,53.032,4.756
63710,51.934,4.06
63761,51.934,5.539
74717,52.438,6.583
87177,53.014,6.003
86393,52.978,5.8870000000000005
77835,52.582,6.525
72309,52.33,4.611
52815,51.43,4.785
55955,51.574,5.365
87196,53.014,6.554
71146,52.276,4.814
40378,50.854,6.032
53600,51.466,4.93
72734,52.348,5.626
39979,50.836,5.771
55947,51.574,5.133
69216,52.186,5.394
73490,52.384,4.93
72389,52.33,6.931
59409,51.736,3.741
74259,52.42,4.611
59875,51.754,5.945
75834,52.492,5.046
72361,52.33,6.119
82892,52.816,6.148
72708,52.348,4.872
69969,52.222,4.611
53227,51.448,5.423
64170,51.952,6.09
61388,51.826,4.582
60262,51.772,5.858
92650,53.266,6.38
64942,51.988,5.858
86789,52.996,6.061
71924,52.312,4.756
79334,52.654,4.756
70026,52.222,6.264
67273,52.096,5.5969999999999995
57854,51.664,3.886
74659,52.438,4.901
61783,51.844,4.727
43101,50.98,5.829
56722,51.61,4.9879999999999995
90687,53.176,6.003
91464,53.212,5.916
88738,53.086,6.032
64194,51.952,6.786
41159,50.89,6.061
89897,53.14,5.713
66056,52.042,4.234
92239,53.248,5.771
91876,53.23,6.554
83280,52.834,6.09
62192,51.862,5.2780000000000005
64887,51.988,4.263
83232,52.834,4.698
62950,51.898,4.64
56333,51.592,5.017
69582,52.204,4.698
90323,53.158,6.757
73519,52.384,5.771
69983,52.222,5.017
53240,51.448,5.8
71526,52.294,4.524
94972,53.374,5.858
55164,51.538,5.046
68076,52.132,6.264
85603,52.942,5.5969999999999995
75494,52.474,6.496
73530,52.384,6.09
64118,51.952,4.582
62180,51.862,4.93
80114,52.69,4.756
80119,52.69,4.901
84466,52.888,6.554
88694,53.086,4.756
68031,52.132,4.959
67645,52.114,5.075
79347,52.654,5.133
72366,52.33,6.264
73875,52.402,4.785
79337,52.654,4.843
86430,52.978,6.96
63406,51.916,6.554
64527,51.97,5.133
53228,51.448,5.452
70046,52.222,6.844
48105,51.214,3.915
66839,52.078,4.321
61841,51.844,6.409
70435,52.24,6.815
46228,51.124,6.032
48491,51.232,3.799
80891,52.726,4.6690000000000005
64120,51.952,4.64
54727,51.52,3.683
68406,52.15,4.524
77035,52.546,5.945
58688,51.7,5.452
71552,52.294,5.2780000000000005
52836,51.43,5.394
50125,51.304,5.945
68791,52.168,4.379
68843,52.168,5.8870000000000005
71963,52.312,5.8870000000000005
74719,52.438,6.641
93031,53.284,6.119
68056,52.132,5.684
63011,51.898,6.409
79335,52.654,4.785
61417,51.826,5.423
66093,52.042,5.307
52445,51.412,5.365
81726,52.762,6.264
